qtyNeeded,imageUrl,productUrl,productTitle,itemPrice__amount
1,"https://m.media-amazon.com/images/I/81VXnbJqmWL._SR500,500_.jpg",/dp/B0C415HQPX,"iRobot Roomba Combo j9+ Self-Emptying & Auto-Fill Robot Vacuum & Mop – Multi-Functional Base Refills Bin and Empties Itself, Vacuums and Mops Without Needing to Avoid Carpets, Avoids Obstacles?",1079.0
1,"https://m.media-amazon.com/images/I/71Q03CscXML._SR500,500_.jpg",/dp/B0D39W652V,Ezy Breezy Sourdough Kit | Banneton Proofing Baskets 10 Inch Round & 9 Inch Oval | Glass Starter Jar | Danish Dough Whisk | Sourdough Bread Kit & Recipe Ebook All Included,29.95
1,"https://m.media-amazon.com/images/I/81ZdXTxw-tL._SR500,500_.jpg",/dp/B015CQZO3Y,"OXO Good Grips Non-Stick Pro Pizza Pan, 15 Inch",28.0
1,"https://m.media-amazon.com/images/I/61VJ066hfPL._SR500,500_.jpg",/dp/B09Y25BY8G,"HexClad Hybrid Nonstick 10-Inch Fry Pan with Tempered Glass Lid, Stay-Cool Handle, Dishwasher and Oven Safe, Induction Ready, Compatible with All Cooktops",135.0
1,"https://m.media-amazon.com/images/I/81tmTYtNhQL._SR500,500_.jpg",/dp/B09JZZZ9FT,"ALPHA LIVING Splatter Guard for Frying Pan & Food Strainer and Universal Cookware 13"" - Stops Hot Oil Splash - RED Handle - Splatter Screen for Cooking",7.99
1,"https://m.media-amazon.com/images/I/61Zf0C-JKNL._SR500,500_.jpg",/dp/B01ENK4UV2,"KitchenAid KSMPEXTA Gourmet Pasta Press Attachment with 6 Interchangeable Pasta Plates, White",161.49
1,"https://m.media-amazon.com/images/I/61ZH2CEQfaL._SR500,500_.jpg",/dp/B0D2PNT3RN,"Level Lock+ (Wi-Fi) Smart Lock - World's Smallest Smart Lock Plus Apple Home Keys - Lock/Unlock from Anywhere - Level App for iOS & Android - Works with Apple Home, Alexa, Google Home (Matte Black)",349.0
1,"https://m.media-amazon.com/images/I/51YCCGCKWVL._SR500,500_.jpg",/dp/B00XBOXVIA,"Breville BOV845BSS Smart Pro Countertop Oven, One Size",269.95
1,"https://m.media-amazon.com/images/I/71gVVxqvQJL._SR500,500_.jpg",/dp/B000N4WN08,"Lodge 6 Quart Enameled Cast Iron Dutch Oven with Lid – Dual Handles – Oven Safe up to 500° F or on Stovetop - Use to Marinate, Cook, Bake, Refrigerate and Serve – Blue",71.08
1,"https://m.media-amazon.com/images/I/613cWlKGLrL._SR500,500_.jpg",/dp/B00EJU3SWY,Home-it Mop and Broom Holder Wall Mount Garden Tool Storage Tool Rack Storage & Organization for the Home Plastic Hanger for Closet Garage Organizer (5-position),9.99
1,"https://m.media-amazon.com/images/I/61nVbIy048L._SR500,500_.jpg",/dp/B00GX5H6AS,"Anchor Hocking Glass Bread Pan, 1.5 Quart Loaf Pan, Set of 3",32.28
1,"https://m.media-amazon.com/images/I/51A2BMpOFrL._SR500,500_.jpg",/dp/B0C9PV25NR,"Mini Spatula | Stainless Steel Small Spatula For Kitchen Use | Metal Spatula For Cooking Brownie, Cookie, Lasagna and More | Pie Server Spatula | Cake & Pancakes Serving Spatulas",9.29
1,"https://m.media-amazon.com/images/I/61K4rnl70cL._SR500,500_.jpg",/dp/B09R48929V,"Vinod Cookware Stainless Steel Mixing Bowls - Stackable Mixing Bowl Set - Heavy Duty Flat Bottom Stainless Steel Bowls for Meal Prep, Cooking, Mixing & Serve - Space Saving & Easy Clean - Set of 6",26.99
1,"https://m.media-amazon.com/images/I/71OS0afdPeL._SR500,500_.jpg",/dp/B07D145Y4T,Farberware Professional French Wood Rolling Pin,23.23
1,"https://m.media-amazon.com/images/I/71iD5RyhuaL._SR500,500_.jpg",/dp/B00NGV4506,"Ninja BL610 Professional 72 Oz Countertop 1000-Watt Base and Total Crushing Technology for-Smoothies, Ice and Frozen Fruit, Black, Blender + Pitcher",59.99
1,"https://m.media-amazon.com/images/I/71Fq80vk0gL._SR500,500_.jpg",/dp/B07DM7YYXR,"Last Confection Dough Blender, Professional Stainless Steel Pastry Cutter",8.99
